Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Launch Site,Payload Mass,Launch Outcome,Version Booster,Booster Landing,Date,Time
31,,EchoStar 23,,GTO,EchoStar,,"KSC,LC-39A","5,600 kg (12,300 lb)[164]",Success,F9 FTB1030.1[163],No attempt[165],"16 March 2017,06:00",
32,,SES-10[109][168],,GTO,SES,,"KSC,LC-39A","5,300 kg (11,700 lb)[169]",Success[170],F9 FT♺B1021.2[115],Success(drone ship),"30 March 2017,22:27",
33,,NROL-76[174],,LEO[175],NRO,,"KSC,LC-39A",Classified,Success,F9 FTB1032.1[129],Success(ground pad),"1 May 2017,11:15",
34,,Inmarsat-5 F4[180],,GTO,Inmarsat,,"KSC,LC-39A","6,070 kg (13,380 lb)[181]",Success,F9 FTB1034.1[179],No attempt[165],"15 May 2017,23:21",
35,,SpaceX CRS-11[141](Dragon C106.2 ♺),,LEO(ISS),NASA(CRS),,"KSC,LC-39A","2,708 kg (5,970 lb)[186]",Success,F9 FTB1035.1[185],Success(ground pad),"3 June 2017,21:07",
36,,BulgariaSat-1[196],,GTO,Bulsatcom,,"KSC,LC-39A","3,669 kg (8,089 lb)[197]",Success,F9 FT♺B1029.2[195],Success(drone ship),"23 June 2017,19:10",
37,,Iridium NEXT-2(10 satellites),,LEO,Iridium Communications,,"VAFB,SLC-4E","9,600 kg (21,200 lb)",Success,F9 FTB1036.1[198],Success(drone ship),"25 June 2017,20:25",
38,,Intelsat 35e[201],,GTO,Intelsat,,"KSC,LC-39A","6,761 kg (14,905 lb)[202]",Success,F9 FTB1037.1[200],No attempt[165],"5 July 2017,23:38",
39,,SpaceX CRS-12[141](Dragon C113.1),,LEO(ISS),NASA(CRS),,"KSC,LC-39A","3,310 kg (7,300 lb)",Success,F9 B4B1039.1[207],Success(ground pad),"14 August 2017,16:31",
40,,Formosat-5[210][211],,SSO,NSPO,,"VAFB,SLC-4E","475 kg (1,047 lb)[212]",Success,F9 FTB1038.1[209],Success(drone ship),"24 August 2017,18:51",
41,,Boeing X-37BOTV-5,,LEO,USAF,,"KSC,LC-39A","4,990 kg (11,000 lb)[216]+ OTV payload",Success,F9 B4B1040.1[108],Success(ground pad),"7 September 2017,14:00[215]",
42,,Iridium NEXT-3(10 satellites)[152],,PolarLEO,Iridium Communications,,"VAFB,SLC-4E","9,600 kg (21,200 lb)",Success,F9 B4B1041.1[219],Success(drone ship),"9 October 2017,12:37",
43,,SES-11/EchoStar 105,,GTO,SES S.A.EchoStar,,"KSC,LC-39A","5,200 kg (11,500 lb)",Success,F9 FT♺B1031.2[220],Success(drone ship),"11 October 2017,22:53:00",
44,,Koreasat 5A[222],,GTO,KT Corporation,,"KSC,LC-39A","3,500 kg (7,700 lb)",Success,F9 B4B1042.1[219],Success(drone ship),"30 October 2017,19:34",
45,,SpaceX CRS-13[141](Dragon C108.2 ♺),,LEO(ISS),NASA(CRS),,"Cape Canaveral,SLC-40","2,205 kg (4,861 lb)",Success,F9 FT♺B1035.2[227],Success(ground pad),"15 December 2017,15:36[226]",
46,,Iridium NEXT-4(10 satellites)[152],,PolarLEO,Iridium Communications,,"VAFB,SLC-4E","9,600 kg (21,200 lb)",Success[230],F9 FT♺B1036.2[227],Controlled(ocean)[d][230],"23 December 2017,01:27[229]",
47,,Zuma[238][239][240],,LEO,Northrop Grumman[f][238],,"CCAFS,SLC-40",Classified,Success[241],F9 B4B1043.1[238],Success(ground pad),"8 January 2018,01:00[237]",
48,,GovSat-1(SES-16)[246],,GTO,SES,,"CCAFS,SLC-40","4,230 kg (9,330 lb)[247]",Success[248],F9 FT♺B1032.2[245],Controlled(ocean)[d][248],"31 January 2018,21:25[244]",
FH 1,,Elon Musk's Tesla Roadster[254][255],,Heliocentric0.99–1.67 AU[256](close toMars transfer orbit),SpaceX,,"KSC,LC-39A","~1,250 kg (2,760 lb)[256]",Success[257],Falcon HeavyB1033.1(core)[129],Failure[257](drone ship),"6 February 2018,20:45[253]",
49,,Paz[269]Tintin A and Tintin B[270],,SSO,HisdesatexactEarthSpaceX,,"VAFB,SLC-4E","2,150 kg (4,740 lb)",Success[271],F9 FT♺B1038.2[268],No attempt[271],"22 February 2018,14:17[267]",
50,,Hispasat 30W-6[277]PODSat[278],,GTO,Hispasat[277]NovaWurks,,"CCAFS,SLC-40","6,092 kg (13,431 lb)[279]",Success[280],F9 B4B1044.1[108],No attempt[281],"6 March 2018,05:33[276]",
51,,Iridium NEXT-5(10 satellites)[152],,PolarLEO,Iridium Communications,,"VAFB,SLC-4E","9,600 kg (21,200 lb)",Success[286],F9 B4♺B1041.2[268],No attempt[287],"30 March 2018,14:14[285]",
52,,SpaceX CRS-14[141](Dragon C110.2 ♺),,LEO(ISS),NASA(CRS),,"CCAFS,SLC-40","2,647 kg (5,836 lb)[292]",Success[293],F9 B4♺B1039.2[292],No attempt[294],"2 April 2018,20:30[291]",
53,,Transiting Exoplanet Survey Satellite(TESS)[304],,HEOforP/2 orbit,NASA(LSP),,"CCAFS,SLC-40",362 kg (798 lb)[305],Success[306],F9 B4B1045.1[268],Success[306](drone ship),"18 April 2018,22:51[303]",
54,,Bangabandhu-1[312][313],,GTO,Thales-Alenia/BTRC,,"KSC,LC-39A","3,600 kg (7,900 lb)[314]",Success[315],F9 B5[311]B1046.1[268],Success[315](drone ship),"11 May 2018,20:14[310]",
55,,Iridium NEXT-6(5 satellites)[152][155]GRACE-FO× 2[323][324],,PolarLEO,Iridium CommunicationsGFZ•NASA,,"VAFB,SLC-4E","6,460 kg (14,240 lb)[g]",Success[327],F9 B4♺B1043.2[322],No attempt[165],"22 May 2018,19:47[321]",
56,,SES-12[331],,GTO,SES,,"CCAFS,SLC-40","5,384 kg (11,870 lb)[332]",Success[333],F9 B4♺B1040.2[268],No attempt[165],"4 June 2018,04:45[330]",
57,,SpaceX CRS-15(Dragon C111.2 ♺),,LEO(ISS),NASA(CRS),,"CCAFS,SLC-40","2,697 kg (5,946 lb)[337]",Success[338],F9 B4♺B1045.2[336],No attempt[165],"29 June 2018,09:42[335]",
58,,Telstar 19V[341],,GTO[343],Telesat,,"CCAFS,SLC-40","7,075 kg (15,598 lb)[342]",Success[344],F9 B5B1047.1,Success[344](drone ship),"22 July 2018,05:50[340]",
59,,Iridium NEXT-7(10 satellites)[152],,PolarLEO,Iridium Communications,,"VAFB,SLC-4E","9,600 kg (21,200 lb)",Success[351],F9 B5[349]B1048.1[350],Success[352](drone ship),"25 July 2018,11:39[348]",
60,,Merah Putih(formerly Telkom 4)[355][356],,GTO,Telkom Indonesia,,"CCAFS,SLC-40","5,800 kg (12,800 lb)[357]",Success[358],F9 B5♺B1046.2[354],Success[358](drone ship),"7 August 2018,05:18[353]",
61,,Telstar 18V/Apstar-5C[341],,GTO[361],Telesat,,"CCAFS,SLC-40","7,060 kg (15,560 lb)[361]",Success[361],F9 B5B1049.1[268],Success[361](drone ship),"10 September 2018,04:45[361]",
62,,SAOCOM 1A[365][366],,SSO,CONAE,,"VAFB,SLC-4E","3,000 kg (6,600 lb)[363]",Success[363],F9 B5♺B1048.2[364],Success[363](ground pad),"8 October 2018,02:22[363]",
63,,Es'hail 2[368],,GTO,Es'hailSat,,"KSC,LC-39A","5,300 kg (11,700 lb)[369]",Success[370],F9 B5♺B1047.2[268],Success[370](drone ship),"15 November 2018,20:46[367]",
64,,SSO-A(SmallSat Express),,SSO,Spaceflight Industries,,"VAFB,SLC-4E","~4,000 kg (8,800 lb)[372]",Success[373],F9 B5♺B1046.3[268]SHERPA,Success[373](drone ship),"3 December 2018,18:34:05",
65,,SpaceX CRS-16(Dragon C112.2♺ ),,LEO(ISS),NASA(CRS),,"CCAFS,SLC-40","2,500 kg (5,500 lb)[382]",Success,F9 B5B1050[268],Failure[383](ground pad),"5 December 2018,18:16",
66,,GPS III-01(Vespucci),,MEO,USAF,,"CCAFS,SLC-40","4,400 kg (9,700 lb)[388]",Success[386],F9 B5B1054[387],No attempt[386],"23 December 2018,13:51[386]",
67,,Iridium NEXT-8(10 satellites)[152],,PolarLEO,Iridium Communications,,"VAFB,SLC-4E","9,600 kg (21,200 lb)",Success,F9 B5♺B1049.2[397],Success(drone ship),"11 January 2019,15:31[396]",
